,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2017,22,KAN,NFL,QB,1,1,1-0-0,22,35,62.9,284,0,0.0,1,2.9,15,51.4,51,8.1,6.83,12.9,284.0,76.4,66.8,2,15,5.41,7.27,6.05,0,1,1,
1,2018,23,KAN,NFL,QB,16,16,12-4-0,383,580,66.0,5097,50,8.6,12,2.1,237,54.1,89,8.8,9.58,13.3,318.6,113.8,80.3,26,171,4.29,8.13,8.89,2,2,22,"PB,AP-1,AP MVP-1,AP OPoY-1"
2,2019,24,KAN,NFL,QB,14,14,11-3-0,319,484,65.9,4031,26,5.4,5,1.0,176,50.9,83,8.3,8.94,12.6,287.9,105.3,77.7,17,127,3.39,7.79,8.38,1,1,17,"PB,AP OPoY-4"
3,2020,25,KAN,NFL,QB,15,15,14-1-0,390,588,66.3,4740,38,6.5,6,1.0,238,54.1,75,8.1,8.89,12.2,316.0,108.2,78.1,22,147,3.61,7.53,8.33,3,3,17,"PB,AP-2,AP MVP-3,AP OPoY-2"
4,2021,26,KAN,NFL,QB,17,17,12-5-0,436,658,66.3,4839,37,5.6,13,2.0,260,53.2,75,7.4,7.59,11.1,284.6,98.5,67.7,28,146,4.08,6.84,7.07,3,3,18,PB
5,2022,27,KAN,NFL,QB,17,17,14-3-0,435,648,67.1,5250,41,6.3,12,1.9,272,54.6,67,8.1,8.53,12.1,308.8,105.2,79.0,26,188,3.86,7.51,7.93,4,4,19,"PB,AP-1,AP MVP-1,AP OPoY-2"
6,2023,28,KAN,NFL,QB,16,16,10-6-0,401,597,67.2,4183,27,4.5,14,2.3,206,48.2,67,7.0,6.86,10.4,261.4,92.6,63.1,27,186,4.33,6.41,6.26,1,2,15,"PB,AP MVP-7"
7,2024,29,KAN,NFL,QB,16,16,15-1-0,392,581,67.5,3928,26,4.5,11,1.9,214,50.7,54,6.8,6.8,10.0,245.5,93.5,67.6,36,239,5.83,5.98,6.02,5,7,14,"AP MVP-6,AP OPoY-17"
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,112,112,89-23-0,2778,4171,66.6,32352,245,5.9,74,1.8,1618,52.3,89,7.8,8.13,11.6,288.9,102.1,,184,1219,4.23,7.15,7.51,19,23,123,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,89-23-0,422,633,66.6,4911,37,5.9,11,1.8,246,52.3,89,7.8,8.13,11.6,288.9,102.1,,28,185,4.23,7.15,7.51,3,3,19,
