,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,74.0,1.0,1.0,2024-09-06,GNB,@,PHI,"L, 29-34",*,16,84,0,5.3,3,2,20,10.0,0,66.7,6.7,1,0,0,0,0,0,49,73.1,0,0.0,0,0.0
1,2.0,75.0,2.0,2.0,2024-09-15,GNB,,IND,"W, 16-10",*,32,151,0,4.7,0,0,0,,0,,,1,1,0,0,0,0,47,67.1,0,0.0,1,4.5
2,3.0,76.0,3.0,3.0,2024-09-22,GNB,@,TEN,"W, 30-14",*,14,43,0,3.1,1,1,5,5.0,0,100.0,5.0,0,0,0,0,0,0,33,52.4,0,0.0,0,0.0
3,4.0,77.0,4.0,4.0,2024-09-29,GNB,,MIN,"L, 29-31",*,9,51,0,5.7,6,4,27,6.8,0,66.7,4.5,0,0,0,0,0,0,46,60.5,0,0.0,0,0.0
4,5.0,78.0,5.0,5.0,2024-10-06,GNB,@,LAR,"W, 24-19",*,19,73,1,3.8,1,1,21,21.0,0,100.0,21.0,0,0,0,0,0,0,44,74.6,0,0.0,0,0.0
5,6.0,79.0,6.0,6.0,2024-10-13,GNB,,ARI,"W, 34-13",*,18,62,0,3.4,3,3,28,9.3,0,100.0,9.3,0,0,0,0,0,0,46,63.0,0,0.0,0,0.0
6,7.0,80.0,7.0,7.0,2024-10-20,GNB,,HOU,"W, 24-22",*,12,76,0,6.3,5,5,16,3.2,1,100.0,3.2,0,0,0,0,0,0,39,67.2,0,0.0,0,0.0
7,8.0,81.0,8.0,8.0,2024-10-27,GNB,@,JAX,"W, 30-27",*,25,127,2,5.1,2,1,-2,-2.0,0,50.0,-1.0,0,0,0,0,0,0,45,64.3,0,0.0,0,0.0
8,9.0,82.0,9.0,9.0,2024-11-03,GNB,,DET,"L, 14-24",*,13,95,0,7.3,3,2,13,6.5,0,66.7,4.3,0,0,0,0,0,0,36,55.4,0,0.0,0,0.0
9,10.0,83.0,10.0,11.0,2024-11-17,GNB,@,CHI,"W, 20-19",*,18,76,1,4.2,5,4,58,14.5,0,80.0,11.6,0,0,0,0,0,0,37,80.4,0,0.0,0,0.0
10,11.0,84.0,11.0,12.0,2024-11-24,GNB,,SFO,"W, 38-10",*,26,106,3,4.1,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,38,52.8,0,0.0,0,0.0
11,12.0,85.0,12.0,13.0,2024-11-28,GNB,,MIA,"W, 30-17",*,19,43,1,2.3,4,4,74,18.5,0,100.0,18.5,0,0,0,0,0,0,42,77.8,0,0.0,1,4.2
12,13.0,86.0,13.0,14.0,2024-12-05,GNB,@,DET,"L, 31-34",*,18,66,3,3.7,0,0,0,,0,,,0,0,0,0,0,0,40,80.0,0,0.0,0,0.0
13,14.0,87.0,14.0,15.0,2024-12-15,GNB,@,SEA,"W, 30-13",*,26,94,1,3.6,4,4,42,10.5,0,100.0,10.5,1,1,0,0,0,0,48,75.0,0,0.0,0,0.0
14,15.0,88.0,15.0,16.0,2024-12-23,GNB,,NOR,"W, 34-0",*,13,69,1,5.3,4,4,38,9.5,0,100.0,9.5,0,0,0,0,0,0,28,40.6,0,0.0,0,0.0
15,16.0,89.0,16.0,17.0,2024-12-29,GNB,@,MIN,"L, 25-27",*,17,69,1,4.1,0,0,0,,0,,,1,1,0,0,0,0,40,63.5,0,0.0,0,0.0
16,17.0,90.0,17.0,18.0,2025-01-05,GNB,,CHI,"L, 22-24",*,6,44,1,7.3,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,20,30.8,0,0.0,0,0.0
17,,,,,,,,,11-6,,301,1329,15,4.4,43,36,342,9.5,1,83.7,8.0,4,3,0,0,0,0,678,62.5,0,0.0,2,0.5
