,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,120.0,1.0,1.0,2024-09-05,BAL,@,KAN,"L, 20-27",*,13,46,1,3.5,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,37,46.3,0,0.0,0,0.0
1,2.0,121.0,2.0,2.0,2024-09-15,BAL,,LVR,"L, 23-26",*,18,84,1,4.7,1,1,12,12.0,0,100.0,12.0,0,0,0,0,0,0,30,46.2,0,0.0,0,0.0
2,3.0,122.0,3.0,3.0,2024-09-22,BAL,@,DAL,"W, 28-25",*,25,151,2,6.0,1,1,23,23.0,0,100.0,23.0,0,0,0,0,0,0,37,58.7,0,0.0,0,0.0
3,4.0,123.0,4.0,4.0,2024-09-29,BAL,,BUF,"W, 35-10",*,24,199,1,8.3,3,3,10,3.3,1,100.0,3.3,1,0,0,0,0,0,37,64.9,0,0.0,0,0.0
4,5.0,124.0,5.0,5.0,2024-10-06,BAL,@,CIN,"W, 41-38 (OT)",*,15,92,1,6.1,1,1,4,4.0,0,100.0,4.0,0,0,0,0,0,0,39,50.0,0,0.0,0,0.0
5,6.0,125.0,6.0,6.0,2024-10-13,BAL,,WAS,"W, 30-23",*,24,132,2,5.5,0,0,0,,0,,,0,0,0,0,0,0,43,63.2,0,0.0,0,0.0
6,7.0,126.0,7.0,7.0,2024-10-21,BAL,@,TAM,"W, 41-31",*,15,169,0,11.3,1,1,13,13.0,1,100.0,13.0,0,0,0,0,0,0,34,57.6,0,0.0,0,0.0
7,8.0,127.0,8.0,8.0,2024-10-27,BAL,@,CLE,"L, 24-29",*,11,73,1,6.6,1,1,4,4.0,0,100.0,4.0,0,0,0,0,0,0,35,51.5,0,0.0,0,0.0
8,9.0,128.0,9.0,9.0,2024-11-03,BAL,,DEN,"W, 41-10",*,23,106,2,4.6,1,1,27,27.0,0,100.0,27.0,1,0,0,0,0,0,35,61.4,0,0.0,0,0.0
9,10.0,129.0,10.0,10.0,2024-11-07,BAL,,CIN,"W, 35-34",*,16,68,1,4.3,1,1,3,3.0,0,100.0,3.0,0,0,0,0,0,0,39,61.9,0,0.0,0,0.0
10,11.0,130.0,11.0,11.0,2024-11-17,BAL,@,PIT,"L, 16-18",*,13,65,1,5.0,0,0,0,,0,,,1,1,0,0,0,0,30,49.2,0,0.0,0,0.0
11,12.0,131.0,12.0,12.0,2024-11-25,BAL,@,LAC,"W, 30-23",*,24,140,0,5.8,0,0,0,,0,,,0,0,0,0,0,0,39,60.0,0,0.0,0,0.0
12,13.0,132.0,13.0,13.0,2024-12-01,BAL,,PHI,"L, 19-24",*,19,82,0,4.3,3,3,29,9.7,0,100.0,9.7,0,0,0,0,0,0,37,51.4,0,0.0,0,0.0
13,14.0,133.0,14.0,15.0,2024-12-15,BAL,@,NYG,"W, 35-14",*,14,67,0,4.8,0,0,0,,0,,,0,0,0,0,0,0,27,45.8,0,0.0,0,0.0
14,15.0,134.0,15.0,16.0,2024-12-21,BAL,,PIT,"W, 34-17",*,24,162,0,6.8,2,2,27,13.5,0,100.0,13.5,0,0,0,0,0,0,46,74.2,0,0.0,0,0.0
15,16.0,135.0,16.0,17.0,2024-12-25,BAL,@,HOU,"W, 31-2",*,27,147,1,5.4,2,2,18,9.0,0,100.0,9.0,0,0,0,0,0,0,41,65.1,0,0.0,0,0.0
16,17.0,136.0,17.0,18.0,2025-01-04,BAL,,CLE,"W, 35-10",*,20,138,2,6.9,3,2,23,11.5,0,66.7,7.7,0,0,0,0,0,0,49,70.0,0,0.0,0,0.0
17,,,,,,,,,12-5,,325,1921,16,5.9,22,19,193,10.2,2,86.4,8.8,3,1,0,0,0,0,635,57.2,0,0.0,0,0.0
