,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2013,24,KAN,NFL,TE,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,0,0,0,,,,0.0,0.0,0,,0,0,0,0.0,
1,2014,25,KAN,NFL,TE,16,11,87,67,862,12.9,5,46,69.0,34.0,4.2,53.9,77.0,9.9,0,0,0,0,,,,0.0,0.0,67,12.9,862,5,4,9.0,
2,2015,26,KAN,NFL,TE,16,16,103,72,875,12.2,5,40,55.3,42.0,4.5,54.7,69.9,8.5,0,0,0,0,,,,0.0,0.0,72,12.2,875,5,2,9.0,PB
3,2016,27,KAN,NFL,TE,16,15,117,85,1125,13.2,4,55,63.2,80.0,5.3,70.3,72.6,9.6,1,-5,0,0,0.0,-5.0,-5.0,-0.3,0.1,86,13.0,1120,4,0,10.0,"PB,AP-1"
4,2017,28,KAN,NFL,TE,15,15,122,83,1038,12.5,8,53,54.1,44.0,5.5,69.2,68.0,8.5,2,7,0,2,100.0,4.0,3.5,0.5,0.1,85,12.3,1045,8,0,10.0,"PB,AP-2"
5,2018,29,KAN,NFL,TE,16,16,150,103,1336,13.0,10,68,62.7,43.0,6.4,83.5,68.7,8.9,0,0,0,0,,,,0.0,0.0,103,13.0,1336,10,2,14.0,"PB,AP-1"
6,2019,30,KAN,NFL,TE,16,16,136,97,1229,12.7,5,65,64.0,47.0,6.1,76.8,71.3,9.0,1,4,1,1,100.0,4.0,4.0,0.3,0.1,98,12.6,1233,6,1,13.0,"PB,AP-2"
7,2020,31,KAN,NFL,TE,15,15,145,105,1416,13.5,11,79,66.2,45.0,7.0,94.4,72.4,9.8,0,0,0,0,,,,0.0,0.0,105,13.5,1416,11,1,12.0,"PB,AP-1,AP OPoY-4"
8,2021,32,KAN,NFL,TE,16,16,134,92,1125,12.2,9,63,60.4,69.0,5.8,70.3,68.7,8.4,2,3,1,1,50.0,4.0,1.5,0.2,0.1,94,12.0,1128,10,1,11.0,"PB,AP-2"
9,2022,33,KAN,NFL,TE,17,17,152,110,1338,12.2,12,78,63.2,52.0,6.5,78.7,72.4,8.8,2,5,0,1,100.0,4.0,2.5,0.3,0.1,112,12.0,1343,12,1,12.0,"PB,AP-1,AP OPoY-6"
10,2023,34,KAN,NFL,TE,15,15,121,93,984,10.6,5,50,62.0,53.0,6.2,65.6,76.9,8.1,0,0,0,0,,,,0.0,0.0,93,10.6,984,5,1,8.0,PB
11,2024,35,KAN,NFL,TE,16,16,133,97,823,8.5,3,47,60.2,38.0,6.1,51.4,72.9,6.2,1,1,0,0,100.0,1.0,1.0,0.1,0.1,98,8.4,824,3,2,8.0,PB
12,2025,36,KAN,NFL,TE,3,3,17,10,134,13.4,1,7,52.9,37.0,3.3,44.7,58.8,7.9,0,0,0,0,,,,0.0,0.0,10,13.4,134,1,0,,
13,13 Yrs,13 Yrs,13 Yrs,13 Yrs,,178,171,1417,1014,12285,12.1,78,651,61.8,80.0,5.7,69.0,71.6,8.7,9,15,2,5,77.8,4.0,1.7,0.1,0.1,1023,12.0,12300,80,15,116.0,
14,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,135,97,1173,12.1,7,62,61.8,80.0,5.7,69.0,71.6,8.7,1,1,0,0,77.8,4.0,1.7,0.1,0.1,98,12.0,1175,8,1,,
